Source,Target,Type,Id,Label,timeset,Weight
We have: 111 1's.,We have: 11 1's.,Directed,,,,28
We have: 11 1's.,We have no digits.,Directed,,,,29
"We have: 10000 0's, 10110 1's.","We have: 1001 0's, 10001 1's.",Directed,,,,22
"We have: 10000 0's, 1100 1's.","We have: 1001 0's, 1000 1's.",Directed,,,,400
"We have: 100000 0's, 100001 1's.","We have: 10110 0's, 11101 1's.",Directed,,,,2
"We have: 100000 0's, 10101 1's.","We have: 11000 0's, 10000 1's.",Directed,,,,31
"We have: 1000000 0's, 1001000 1's.","We have: 110100 0's, 1000100 1's.",Directed,,,,1
"We have: 1000000 0's, 111011 1's.","We have: 111000 0's, 110100 1's.",Directed,,,,9
"We have: 10000000 0's, 10001100 1's.","We have: 1110011 0's, 10000111 1's.",Directed,,,,1
"We have: 100000000 0's, 100110001 1's.","We have: 11110010 0's, 100101011 1's.",Directed,,,,2
"We have: 10000001 0's, 10001011 1's.","We have: 1110110 0's, 10000100 1's.",Directed,,,,2
"We have: 100000011 0's, 101000001 1's.","We have: 11110110 0's, 100111010 1's.",Directed,,,,4
"We have: 1000001 0's, 1001001 1's.","We have: 110111 0's, 1000011 1's.",Directed,,,,1
"We have: 10000010 0's, 10001010 1's.","We have: 1110110 0's, 10000100 1's.",Directed,,,,4
"We have: 100000100 0's, 100101100 1's.","We have: 11110111 0's, 100100101 1's.",Directed,,,,3
"We have: 100000100 0's, 101000000 1's.","We have: 11110101 0's, 100111011 1's.",Directed,,,,1
"We have: 100000101 0's, 100011010 1's.","We have: 11111001 0's, 100010010 1's.",Directed,,,,4
"We have: 10000011 0's, 10011011 1's.","We have: 1111010 0's, 10010010 1's.",Directed,,,,11
"We have: 100001 0's, 101100 1's.","We have: 11001 0's, 100110 1's.",Directed,,,,19
"We have: 1000010 0's, 1001000 1's.","We have: 110111 0's, 1000011 1's.",Directed,,,,1
"We have: 1000010 0's, 1010101 1's.","We have: 111001 0's, 1001110 1's.",Directed,,,,3
"We have: 10000100 0's, 10001000 1's.","We have: 1110111 0's, 10000011 1's.",Directed,,,,1
"We have: 10000100 0's, 10011010 1's.","We have: 1111001 0's, 10010011 1's.",Directed,,,,65
"We have: 100001000 0's, 101001111 1's.","We have: 11111101 0's, 101000110 1's.",Directed,,,,25
"We have: 100001001 0's, 100111010 1's.","We have: 11111110 0's, 100110001 1's.",Directed,,,,12
"We have: 100001001 0's, 101001110 1's.","We have: 11111110 0's, 101000101 1's.",Directed,,,,1
"We have: 100001010 0's, 100111011 1's.","We have: 100000000 0's, 100110001 1's.",Directed,,,,1
"We have: 100001010 0's, 101001101 1's.","We have: 11111111 0's, 101000100 1's.",Directed,,,,39
"We have: 1000011 0's, 1010100 1's.","We have: 111010 0's, 1001101 1's.",Directed,,,,5
"We have: 10000110 0's, 10010111 1's.","We have: 1111101 0's, 10001110 1's.",Directed,,,,1
"We have: 100001101 0's, 100110111 1's.","We have: 100000100 0's, 100101100 1's.",Directed,,,,1
"We have: 100001101 0's, 101001011 1's.","We have: 100000011 0's, 101000001 1's.",Directed,,,,1
"We have: 10000111 0's, 10100111 1's.","We have: 1111111 0's, 10011101 1's.",Directed,,,,8
"We have: 100001110 0's, 100110110 1's.","We have: 100000100 0's, 100101100 1's.",Directed,,,,1
"We have: 100001110 0's, 101001010 1's.","We have: 100000011 0's, 101000001 1's.",Directed,,,,2
"We have: 1000100 0's, 1000110 1's.","We have: 111010 0's, 1000000 1's.",Directed,,,,3
"We have: 10001000 0's, 10010101 1's.","We have: 1111101 0's, 10001110 1's.",Directed,,,,2
"We have: 10001000 0's, 10100111 1's.","We have: 1111110 0's, 10011111 1's.",Directed,,,,1
"We have: 10001001 0's, 10100101 1's.","We have: 1111111 0's, 10011101 1's.",Directed,,,,181
"We have: 100010010 0's, 100100001 1's.","We have: 100000101 0's, 100011010 1's.",Directed,,,,3
"We have: 100010011 0's, 101011000 1's.","We have: 100001000 0's, 101001111 1's.",Directed,,,,24
"We have: 1000101 0's, 1000101 1's.","We have: 111100 0's, 111110 1's.",Directed,,,,2
"We have: 10001010 0's, 10100100 1's.","We have: 1111111 0's, 10011101 1's.",Directed,,,,3
"We have: 100010100 0's, 101010111 1's.","We have: 100001010 0's, 101001101 1's.",Directed,,,,38
